,ATAR,2018,2019,2020,2021,2022
0,99.95,476.3,476.7,478.1,478.8,478.1
1,99.50,455.5,454.5,458.8,458.7,459.9
2,99.00,444.5,443.8,447.8,448.0,449.1
3,98.00,429.9,429.6,433.8,433.7,434.3
4,95.00,402.8,402.0,404.2,404.8,404.6
5,90.00,371.1,370.0,370.1,369.8,368.9
6,85.00,343.1,342.2,341.8,340.2,338.9
7,80.00,318.2,316.3,315.8,313.5,310.9
8,75.00,294.5,291.7,290.8,288.0,285.2
9,70.00,271.1,268.6,267.2,263.8,259.5
10,65.00,248.1,245.9,244.1,239.8,234.4
11,60.00,224.1,223.5,221.1,217.2,210.4
12,55.00,201.0,200.2,198.3,195.4,186.4
13,50.00,178.0,176.8,175.5,172.8,162.8
