Aggregate,ATAR
490.8,99.95
487.9,99.90
485.1,99.45
484.5,99.35
481.5,98.85
476.4,98.05
474.5,97.70
463.1,95.85
453.7,94.25
446.3,93.00
437.2,91.45
432.6,90.65
427.9,89.80
420.3,88.45
414.6,87.45
404,85.55
392.9,83.55
386.8,82.40
386.5,82.35
386.1,82.25
385.6,82.20
385.4,82.15
385.0,82.05
384.5,82.00
384.1,81.90
383.7,81.85
383.2,81.75
382.7,81.65
382.3,81.55
381.7,81.45
381.1,81.35
380.6,81.25
380.0,81.15
379.3,81.00
378.7,80.90
378.0,80.75
377.5,80.65
376.6,80.50
375.8,80.35
375.1,80.20
374.2,80.05
373.4,79.90
372.5,79.75
371.6,79.55
370.6,79.35
369.6,79.20
368.6,79.00
367.3,78.75
366.4,78.55
365.3,78.35
364.1,78.15
362.8,77.90
361.6,77.65
360.2,77.40
358.9,77.15
357.5,76.85
356.0,76.55
354.5,76.30
353.0,76.00
351.4,75.70
349.8,75.35
348.1,75.05
346.4,74.70
344.6,74.35
342.9,74.00
341.1,73.65
339.2,73.30
337.4,72.95
313.5,68.15
302.6,65.90
289.5,63.15
276.8,60.50
265.1,58.0
242,52.95
233.4,51.00
