TE Score,ATAR
130,99.95
129,99.95
128,99.95
127,99.95
126,99.95
125,99.95
124,99.95
123,99.95
122,99.95
121,99.95
120,99.95
119,99.95
118,99.9
117,99.8
116,99.65
115,99.65
114,99.5
113,99.35
112,99.2
111,98.95
110,98.75
109,98.45
108,98.25
107,98.0
106,97.65
105,97.4
104,97.0
103,96.7
102,96.25
101,95.95
100,95.5
99,95.2
98,94.85
97,94.5
96,93.95
95,93.35
94,92.8
93,92.25
92,91.9
91,91.5
90,91.0
89,90.35
88,89.75
87,89.3
86,88.65
85,88.05
84,87.6
83,87.1
82,86.5
81,85.95
80,85.6
79,84.9
78,84.45
77,83.95
76,83.2
75,82.5
74,82.0
73,81.25
72,80.8
71,80.05
70,79.6
69,78.85
68,78.2
67,77.6
66,76.95
65,76.4
64,75.5
63,74.8
62,73.95
61,73.35
60,72.6
59,71.7
58,71.2
57,70.25
56,69.5
55,68.7
54,68.0
53,67.6
52,67.15
51,66.15
50,65.15
49,63.95
48,62.6
47,62.2
46,61.1
45,60.55
44,59.5
43,58.9
42,58.15
41,57.2
40,56.45
39,55.2
38,54.3
37,52.6
36,51.6
35,50.85
34,49.1
33,47.35
32,46.4
31,45.95
30,44.35
29,43.55
28,42.15
27,40.9
26,38.85
25,37.4
24,36.35
23,35.2
22,32.05
21,29.55
20,27.5
19,26.3
18,23.15
17,19.45
16,17.6
15,17.6
14,14.75
13,1.0
12,1.0
11,1.0
10,1.0
9,1.0
8,1.0
