,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
0,Aboriginal Studies,827,HSC,35.3,8.4,49.5,49.0,45.0,41.5,36.5,30.0
1,Aboriginal Studies,,scaled,14.8,12.4,44.3,42.6,33.8,23.6,11.0,4.0
2,Agriculture,"1,509",HSC,36.7,6.7,50.0,48.0,45.5,41.5,37.5,32.0
3,Agriculture,,scaled,19.1,11.1,45.2,41.6,35.4,27.8,18.7,9.6
4,Ancient History,"7,495",HSC,36.4,7.1,50.0,47.5,44.5,41.5,37.5,32.0
5,Ancient History,,scaled,22.4,11.0,48.8,44.4,37.4,30.9,22.5,13.7
6,Biology,"20,710",HSC,36.7,6.3,49.5,47.0,44.0,41.5,37.5,33.0
7,Biology,,scaled,26.2,10.5,50.0,45.3,39.9,34.8,26.7,18.0
8,Business Studies,"20,452",HSC,37.4,6.0,49.5,48.0,45.0,42.0,37.5,33.0
9,Business Studies,,scaled,23.9,11.0,50.0,45.6,39.2,32.6,23.4,15.1
10,Chemistry,"10,369",HSC,37.6,5.8,49.0,47.5,45.0,42.0,38.0,34.0
11,Chemistry,,scaled,32.0,9.9,50.0,47.6,43.6,39.8,33.9,25.8
12,Community & Family Studies,"9,838",HSC,37.2,5.1,48.5,46.5,43.5,41.0,37.5,34.0
13,Community & Family Studies,,scaled,18.5,10.5,44.0,40.4,33.3,26.7,17.8,9.7
14,Dance,845,HSC,41.7,4.2,50.0,49.0,47.0,44.5,42.5,39.0
15,Dance,,scaled,23.9,11.2,46.6,44.4,39.6,32.5,24.3,15.2
16,Design & Technology,"4,124",HSC,39.4,4.5,49.5,48.0,45.0,42.5,39.5,36.5
17,Design & Technology,,scaled,23.1,10.2,47.8,45.1,37.1,30.8,22.7,15.1
18,Drama,"3,191",HSC,40.8,4.9,50.0,49.0,47.0,44.5,41.0,37.5
19,Drama,,scaled,24.0,11.6,50.0,47.2,40.7,33.0,23.4,14.6
20,Earth & Environmental Science,"2,678",HSC,37.3,6.0,50.0,47.5,44.0,41.5,38.0,33.5
21,Earth & Environmental Science,,scaled,22.8,10.9,48.3,43.4,37.1,31.5,23.2,13.9
22,Economics,"5,741",HSC,39.0,5.8,50.0,48.0,45.5,43.5,40.0,35.5
23,Economics,,scaled,31.4,9.9,50.0,47.1,43.0,38.9,33.0,25.0
24,Engineering Studies,"2,558",HSC,36.8,5.6,49.5,47.5,44.5,40.5,37.0,33.5
