,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
0,Aboriginal Studies,737,HSC,36.6,7.3,49.5,49.0,46.5,42.0,37.0,31.5
1,Aboriginal Studies,,scaled,16.0,12.6,46.2,44.8,37.1,24.2,12.8,5.7
2,Agriculture,"1,464",HSC,35.4,6.5,49.5,48.0,44.0,40.0,35.5,31.5
3,Agriculture,,scaled,20.0,11.4,47.4,44.5,36.6,29.1,18.8,10.6
4,Ancient History,"6,336",HSC,36.2,7.0,49.5,47.5,44.5,41.5,37.0,32.0
5,Ancient History,,scaled,23.0,11.0,49.0,45.3,37.8,31.5,22.8,14.3
6,Biology,"18,891",HSC,35.2,6.4,49.0,46.5,43.5,40.0,35.5,30.5
7,Biology,,scaled,26.0,10.1,50.0,45.1,39.2,34.1,26.5,18.3
8,Business Studies,"17,950",HSC,37.2,5.8,50.0,47.5,45.0,41.5,37.0,33.0
9,Business Studies,,scaled,23.6,10.8,49.3,44.7,38.7,32.3,23.0,14.8
10,Chemistry,"9,929",HSC,36.5,6.6,49.5,48.0,44.5,41.0,37.0,32.5
11,Chemistry,,scaled,31.7,9.9,50.0,47.4,43.5,39.5,33.5,25.2
12,Community & Family Studies,"8,964",HSC,37.6,4.7,49.5,47.5,43.5,41.0,38.0,34.5
13,Community & Family Studies,,scaled,18.5,10.5,44.0,41.5,34.1,26.1,17.1,10.0
14,Dance,840,HSC,41.2,4.1,50.0,49.0,46.0,44.0,41.5,39.0
15,Dance,,scaled,24.6,11.1,48.0,46.1,39.8,33.2,24.1,16.4
16,Design & Technology,"3,622",HSC,39.1,4.9,49.5,48.0,45.5,42.5,39.5,36.0
17,Design & Technology,,scaled,22.7,10.5,48.1,45.2,37.4,30.4,22.2,14.7
18,Drama,"3,231",HSC,40.6,4.7,50.0,49.0,46.5,44.0,41.0,37.0
19,Drama,,scaled,24.0,11.1,50.0,47.0,39.5,32.5,23.5,15.2
20,Earth & Environmental Science,"2,224",HSC,37.1,5.1,48.5,46.5,43.5,41.0,37.5,33.5
21,Earth & Environmental Science,,scaled,22.6,10.6,47.7,43.7,36.7,30.6,22.4,14.4
22,Economics,"5,378",HSC,38.8,5.6,49.5,48.0,45.5,43.0,39.5,35.0
