Subject,Result,25%,50%,75%,90%,99%
Aboriginal and Torres Strait Islander Studies,Raw,,,,,
Aboriginal and Torres Strait Islander Studies,Scaled,,,,,
Accounting,Raw,58.00,70.00,81.00,89.00,97.00
Accounting,Scaled,60.34,76.22,86.39,91.25,94.49
Aerospace Systems,Raw,57.00,69.00,82.00,88.00,96.00
Aerospace Systems,Scaled,50.87,69.13,83.78,88.37,92.71
Agricultural Science,Raw,64.00,72.00,79.00,84.00,90.00
Agricultural Science,Scaled,39.98,55.72,68.70,76.56,84.04
Ancient History,Raw,57.00,69.00,80.00,89.00,98.00
Ancient History,Scaled,48.99,67.36,80.62,88.07,92.91
Arabic,Raw,,,,,
Arabic,Scaled,,,,,
Biology,Raw,69.00,78.00,86.00,92.00,97.00
Biology,Scaled,58.27,76.21,87.01,92.09,94.86
Business,Raw,55.00,67.00,78.00,87.00,96.00
Business,Scaled,49.27,65.03,77.13,84.59,89.93
Chemistry,Raw,72.00,82.00,90.00,95.00,99.00
Chemistry,Scaled,73.69,89.10,95.06,97.05,98.06
Chinese,Raw,79.00,89.00,94.00,97.00,100.00
Chinese,Scaled,76.87,85.53,88.74,90.36,91.76
Chinese Extension,Raw,88.00,93.00,95.00,97.00,99.00
Chinese Extension,Scaled,84.80,88.16,89.31,90.36,91.32
Dance,Raw,70.00,82.00,90.00,95.00,100.00
Dance,Scaled,44.37,61.51,71.75,77.24,81.93
Design,Raw,53.00,64.00,77.00,86.00,96.00
Design,Scaled,47.08,60.84,75.02,82.58,88.73
Digital Solutions,Raw,56.00,69.00,83.00,92.00,97.00
Digital Solutions,Scaled,57.95,76.25,88.87,93.48,95.21
Drama,Raw,64.00,75.00,86.00,93.00,99.00
Drama,Scaled,47.09,64.13,78.23,84.85,89.13
Earth and Environmental Science,Raw,69.00,75.00,82.00,88.00,93.00
Earth and Environmental Science,Scaled,50.78,65.95,80.15,88.34,92.76
Economics,Raw,65.00,75.00,86.00,92.00,97.00
Economics,Scaled,71.12,84.83,93.24,95.75,97.14
Engineering,Raw,55.00,68.00,80.00,89.00,96.00
Engineering,Scaled,62.17,80.67,90.80,94.95,96.88
English,Raw,57.00,67.00,78.00,88.00,98.00
English,Scaled,54.70,70.65,83.73,91.12,95.34
English and Literature Extension,Raw,77.00,86.00,94.00,98.00,100.00
English and Literature Extension,Scaled,85.47,91.95,95.37,96.51,96.98
English as an Additional Language,Raw,55.00,64.00,75.00,84.00,95.00
English as an Additional Language,Scaled,51.54,66.78,81.39,89.21,94.73
Film Television and New Media,Raw,60.00,72.00,84.00,92.00,99.00
Film Television and New Media,Scaled,42.11,57.13,70.94,78.52,83.88
Food and Nutrition,Raw,54.00,65.00,77.00,85.00,95.00
Food and Nutrition,Scaled,44.79,59.40,73.57,81.04,87.96
French,Raw,73.00,82.00,89.00,94.00,98.00
French,Scaled,86.45,93.80,96.73,97.95,98.59
French Extension,Raw,,,,,
French Extension,Scaled,,,,,
General Mathematics,Raw,56.00,65.00,74.00,82.00,92.00
General Mathematics,Scaled,49.42,60.97,71.41,79.12,86.45
Geography,Raw,53.00,64.00,75.00,85.00,94.00
Geography,Scaled,50.90,68.13,81.50,89.48,93.89
German,Raw,72.00,81.00,89.00,95.00,99.00
German,Scaled,82.25,92.33,96.57,98.16,98.79
German Extension,Raw,,,,,
German Extension,Scaled,,,,,
Health,Raw,54.00,64.00,76.00,85.00,95.00
Health,Scaled,46.40,59.53,73.53,81.74,88.38
Indonesian,Raw,,,,,
Indonesian,Scaled,,,,,
Italian,Raw,71.00,83.00,91.00,95.00,97.00
Italian,Scaled,80.23,91.32,95.21,96.46,96.97
Japanese,Raw,65.00,77.00,89.00,95.00,99.00
Japanese,Scaled,72.94,84.95,92.20,94.48,95.63
Korean,Raw,82.00,89.00,93.00,97.00,99.00
Korean,Scaled,84.76,88.68,90.50,92.05,92.74
Latin,Raw,,,,,
Latin,Scaled,,,,,
Legal Studies,Raw,55.00,66.00,78.00,87.00,96.00
Legal Studies,Scaled,53.49,68.56,81.42,88.09,92.58
Literature,Raw,68.00,80.00,89.00,95.00,100.00
Literature,Scaled,72.31,86.89,93.02,95.50,96.91
Marine Science,Raw,60.00,68.00,75.00,82.00,90.00
Marine Science,Scaled,43.90,59.30,71.51,81.22,88.95
Mathematical Methods,Raw,63.00,73.00,84.00,92.00,98.00
Mathematical Methods,Scaled,79.42,89.00,94.81,97.06,98.09
