CODE,COURSE,NN/PA_N,SA_Min,SA_Max,SA_N,CA_Min,CA_Max,CA_N,HA_Min,HA_Max,HA_N,EA_Min,EA_Max,EA_N
AAP315116,Australia in Asia and the Pacific,3,1.9,6.6,4,7.1,15.5,10,16.0,22.1,9,22.6,24.5,2
ACC315116,Accounting,17,1.0,7.2,39,7.7,15.7,57,16.2,19.9,17,20.4,21.3,12
AGR315117,Agricultural Systems,7,2.2,6.5,3,7.0,10.9,5,11.4,18.1,4,18.6,20.0,1
ANH315117,Ancient History,33,1.9,7.8,49,8.3,16.1,77,16.6,18.8,17,19.3,19.9,20
ARA315116,Art Theory and Criticism,8,1.6,5.4,9,5.9,13.7,26,14.2,17.8,7,18.3,19.3,14
ART315117,Art Production,58,1.0,3.3,162,3.8,12.7,354,13.2,21.0,209,21.5,23.3,45
ART315214,Art Studio Practice,19,1.0,4.7,57,5.2,12.7,85,13.2,21.4,57,21.9,23.8,17
BHP315116,Psychology,65,1.0,6.8,135,7.3,14.1,185,14.6,18.5,78,19.0,20.1,58
BHS315116,Sociology,47,1.0,5.8,101,6.3,15.9,209,16.4,19.4,66,19.9,20.7,46
BIO315116,Biology,119,3.6,9.8,198,10.3,17.1,244,17.6,21.4,100,21.9,22.9,76
BST315116,Business Studies,70,1.2,6.8,108,7.3,14.4,153,14.9,20.4,70,20.9,22.2,29
CGD315118,Computer Graphics and Design,16,1.0,7.2,42,7.7,16.3,50,16.8,20.2,14,20.7,21.6,8
CHM415115,Chemistry,80,7.8,13.3,107,13.8,16.6,88,17.1,21.5,105,22.0,23.1,92
CHN315114,Chinese,2,2.1,7.7,2,8.2,11.9,1,12.4,17.8,8,18.3,20.0,2
DNC315120,Dance Choreography and Performance,2,1.0,5.8,17,6.3,13.9,20,14.4,18.1,8,18.6,19.7,6
EAL315120,English as an Additional Language or Dialect,19,2.7,5.9,19,6.4,14.3,28,14.8,22.2,12,22.7,24.4,5
ECN315116,Economics,19,1.6,6.7,36,7.2,17.7,118,18.2,23.4,36,23.9,25.1,27
ELT315114,Electronics,5,6.8,11.0,6,11.5,15.7,14,16.2,19.5,6,20.0,20.7,7
ENG315117,English,86,1.0,4.4,337,4.9,15.4,750,15.9,19.6,230,20.1,21.1,157
ENL315114,English Literature,23,1.0,5.0,51,5.5,15.4,178,15.9,21.1,87,21.6,23.0,48
ENW315114,English Writing,44,1.0,4.6,134,5.1,14.3,269,14.8,18.8,101,19.3,20.3,73
ESS315118,Environmental Science,27,1.0,9.0,61,9.5,16.1,61,16.6,19.6,20,20.1,20.9,17
FDN315118,Food and Nutrition,56,1.0,4.3,101,4.8,15.0,259,15.5,20.0,83,20.5,21.8,42
FRN315114,French,0,2.1,7.7,4,8.2,11.9,11,12.4,17.8,13,18.3,20.0,8
GGY315120,Geography,15,1.0,10.0,49,10.5,16.7,59,17.2,22.3,18,22.8,24.2,6
HDS315118,Housing and Design,41,1.3,7.7,79,8.2,16.6,105,17.1,22.5,37,23.0,24.4,11
HLT315118,Health Studies,207,2.9,6.9,131,7.4,14.9,257,15.4,20.9,104,21.4,22.9,39
HSM315117,Modern History,26,1.0,8.3,72,8.8,16.7,85,17.2,19.7,19,20.2,21.0,27
ITC315118,Computer Science,20,1.0,8.3,46,8.8,13.8,36,14.3,18.4,20,18.9,20.0,20
ITN315114,Italian,0,2.1,7.7,1,8.2,11.9,4,12.4,17.8,6,18.3,20.0,8
ITS315118,Information Systems and Digital Technologies,3,1.0,10.1,19,10.6,17.1,13,17.6,20.1,2,20.6,21.4,0
JPN315114,Japanese,15,2.1,7.7,21,8.2,11.9,16,12.4,17.8,13,18.3,20.0,11
LST315117,Legal Studies,29,1.0,5.7,49,6.2,15.7,125,16.2,21.4,47,21.9,23.2,18
MED315117,Media Production,23,1.1,6.3,33,6.8,16.0,57,16.5,19.6,12,20.1,20.8,7
MSM315120,Music,12,4.4,9.7,15,10.2,16.3,21,16.8,18.8,9,19.3,20.3,10
MTG315120,General Mathematics,178,1.0,5.8,252,6.3,12.9,386,13.4,17.9,187,18.4,19.5,117
MTM315117,Mathematics Methods - Foundation,176,1.5,5.9,216,6.4,12.6,382,13.1,17.7,188,18.2,19.3,237
MTM415117,Mathematics Methods,71,4.6,11.1,167,11.6,18.5,251,19.0,21.4,87,21.9,22.6,92
MTS415118,Mathematics Specialised,7,4.0,10.2,26,10.7,17.7,70,18.2,21.6,30,22.1,23.0,46
OXP315118,Outdoor Leadership,35,1.0,4.8,65,5.3,14.3,126,14.8,19.6,49,20.1,21.3,26
PHL315118,Philosophy,23,1.0,5.2,38,5.7,16.2,105,16.7,18.4,19,18.9,19.5,31
PHY415115,Physics,20,2.9,11.2,81,11.7,16.0,70,16.5,20.9,62,21.4,22.5,61
PSC315118,Physical Sciences,217,4.5,10.4,305,10.9,15.7,296,16.2,19.5,156,20.0,20.8,148
REL315116,Studies of Religion,15,1.0,4.5,33,5.0,13.3,59,13.8,17.5,23,18.0,19.1,25
SDD315120,Drama,30,2.4,6.0,47,6.5,16.0,71,16.5,21.2,25,21.7,22.8,9
SDI315117,Student Directed Inquiry,6,3.1,7.1,3,7.6,12.6,8,13.1,17.5,1,18.0,19.2,2
SDP315120,Theatre Performance,10,1.0,5.3,30,5.8,13.7,39,14.2,20.4,29,20.9,22.5,10
SPT315118,Sport Science,66,1.7,6.6,93,7.1,15.9,171,16.4,22.7,96,23.2,24.9,25
TAS315119,First Nations Studies,12,2.2,7.8,22,8.3,14.2,21,14.7,20.6,16,21.1,22.3,7
