course,sa_min,sa_max,ca_min,ca_max,ha_min,ha_max,ea_min,ea_max
Australia in Asia and the Pacific,1.0,7.5,8.0,16.5,17.0,23.0,23.5,25.3
Accounting,1.0,6.3,6.8,15.9,16.4,19.9,20.4,21.3
Agricultural Systems,1.0,6.3,6.8,13.7,14.2,20.4,20.9,22.2
Ancient History,1.0,7.3,7.8,14.9,15.4,17.8,18.3,19.1
Art Theory and Criticism,1.6,5.4,5.9,13.7,14.2,17.8,18.3,19.3
Art Production,1,3.3,3.8,12.7,13.2,21,21.5,23.3
Art Studio Practice,1.0,4.5,5.0,12.9,13.4,20.5,21.0,22.7
Psychology,1.0,6.9,7.4,14.4,14.9,19.7,20.2,21.5
Sociology,1.0,5.3,5.8,15.5,16.0,19.2,19.7,20.5
Biology,3.8,10.8,11.3,16.7,17.2,21.7,22.2,23.4
Business Studies,1.0,6.7,7.2,15.9,16.4,19.8,20.3,21.2
Computer Graphics and Design,1.0,8.3,8.8,16.1,16.6,20.5,21.0,22.1
Chemistry,6.4,12.4,12.9,16.7,17.2,22.4,22.9,24.2
Chinese,1.0,6.3,6.8,10.7,11.2,18.5,19.0,20.4
Dance Choreography and Performance,1,5.8,6.3,13.9,14.4,18.1,18.6,19.7
English as an Additional Language or Dialect,2.7,5.9,6.4,14.3,14.8,22.2,22.7,24.4
Economics,1.0,7.9,8.4,18.0,18.5,23.1,23.6,24.8
Electronics,6.8,11,11.5,15.7,16.2,19.5,20,20.7
English,1.0,4.8,5.3,16.8,17.3,20.3,20.8,21.7
English Literature,1.0,4.8,5.3,15.8,16.3,21.7,22.2,23.7
English Writing,1,4.6,5.1,14.3,14.8,18.8,19.3,20.3
Environmental Science,1.0,8.5,9.0,16.1,16.6,19.6,20.1,20.9
Food and Nutrition,1.0,4.8,5.3,15.1,15.6,20.6,21.1,22.5
French,1.0,6.3,6.8,10.7,11.2,18.5,19.0,20.4
Geography,1.6,8.8,9.3,17.1,17.6,23.1,23.6,24.6
Housing and Design,1.0,10.3,10.8,16.7,17.2,23.4,23.9,25.6
Health Studies,2.1,4.8,5.3,13.4,13.9,19.3,19.8,21.3
Modern History,1.0,7.7,8.2,15.9,16.4,18.6,19.1,19.8
Computer Science,2.2,7.7,8.2,14.3,14.8,19.6,20.1,21.4
Italian,1.0,6.3,6.8,10.7,11.2,18.5,19.0,20.4
Information Systems and Digital Technologies,1,10.1,10.6,17.1,17.6,20.1,20.6,21.4
Japanese,1.0,6.3,6.8,10.7,11.2,18.5,19.0,20.4
Legal Studies,1.0,4.9,5.4,13.9,14.4,20.7,21.2,22.7
Media Production,1.0,5.3,5.8,15.5,16.0,19.2,19.7,20.4
Music,6.2,11.1,11.6,18.0,18.5,20.3,20.8,21.4
General Mathematics,1.0,5.6,6.1,11.7,12.2,17.5,18.0,19.4
Mathematics Methods - Foundation,1.5,5.9,6.4,12.6,13.1,17.7,18.2,19.3
Mathematics Methods,3.6,11.2,11.7,18.2,18.7,21.8,22.3,23.1
Mathematics Specialised,5.8,13.0,13.5,20.0,20.5,24.8,25.3,26.0
Outdoor Leadership,1.0,4.9,5.4,14.7,15.2,20.3,20.8,22.0
Philosophy,1.0,5.9,6.4,15.3,15.8,20.6,21.1,22.7
Physics,2.8,11.0,11.5,15.9,16.4,21.2,21.7,23.1
Physical Sciences,4.4,10.8,11.3,16.0,16.5,20.5,21.0,22.0
Studies of Religion,1.0,6.0,6.5,13.7,14.2,18.1,18.6,19.8
Drama,1.0,6.4,6.9,16.0,16.5,20.2,20.7,21.6
Student Directed Inquiry,1.0,6.8,7.3,13.8,14.3,18.8,19.3,20.6
Theatre Performance,1.0,6.4,6.9,14.6,15.1,21.1,21.6,23.2
Sport Science,1.7,7.1,7.6,15.9,16.4,23.1,23.6,25.4
First Nations Studies,1.0,8.0,8.5,15.4,15.9,22.3,22.8,24.0
Visual Art,1.0,4.9,5.4,13.8,14.3,20.5,21.0,22.7
Contemporary Art Practice,3.0,5.3,5.8,10.5,11.0,17.5,18.0,19.8
Dance,1.0,6.8,7.3,13.1,13.6,17.5,18.0,19.1
Data Science and Digital Solutions,1.3,7.3,7.8,16.7,17.2,21.1,21.6,23.1
Engineering Design,1.0,6.8,7.3,11.9,12.4,17.5,18.0,20.0
English Studio,1.0,4.4,4.9,13.6,14.1,19.2,19.7,21.1
English Inquiry,1.0,5.3,5.8,15.3,15.8,20.1,20.6,21.8
German,1.0,6.3,6.8,10.7,11.2,18.5,19.0,20.4
Mathematics Methods – Foundation,1.0,6.2,6.7,13.4,13.9,17.5,18.0,19.0
