study_code,study_name,mean,sd,scaled_score_20,scaled_score_25,scaled_score_30,scaled_score_35,scaled_score_40,scaled_score_45,scaled_score_50,category,group
AC,Accounting,30.8,7.3,20,25,31,36,41,46,50,,
AH,Agricultural & Horticultural Studies,24.4,6.7,15,19,24,29,34,41,50,,VET industry areas
AL03,Algorithmics (HESS),37.3,6.9,24,31,38,43,47,50,51,,Information Technology Studies
IT02,Data Analytics,27.6,7.0,16,21,26,32,38,44,50,Applied Computing,
IT03,Software Development,28.3,7.1,17,22,28,33,39,45,50,Applied Computing,
AT,Art Creative Practice,27.0,7.5,16,21,27,32,38,44,50,,
SA,Art Making and Exhibiting,26.6,7.2,15,20,25,31,37,44,50,,
BI,Biology,30.5,7.4,19,25,31,36,41,46,50,,
BM,Business Management,27.2,7.3,17,22,27,32,38,44,50,,
CH,Chemistry,33.6,7.3,22,28,34,39,44,47,50,,
CC,Classical Studies,29.6,7.3,19,25,30,36,41,46,50,,Language Studies
DA,Dance,28.0,6.8,18,23,27,32,37,43,50,,
DR,Drama,28.5,7.4,18,23,28,33,39,45,50,,
EC,Economics,31.2,7.3,20,26,31,37,42,46,50,,
EN,English,28.2,7.5,17,22,28,33,39,45,50,,English Studies
EF,English as an Additional Language,27.3,8.3,15,21,27,33,40,46,50,,English Studies
EG,English Language,32.6,7.2,22,27,33,38,43,47,50,,English Studies
EV,Environmental Science,28.1,7.0,18,23,28,33,39,44,50,,
XI03,Extended Investigation,32.8,6.6,22,27,33,38,42,47,50,,
FT,Food Studies,24.1,7.2,14,19,23,29,35,42,50,,
GE,Geography,28.6,7.4,18,23,28,34,39,45,50,,
HH,Health and Human Development,26.4,7.3,16,21,26,31,37,43,50,,
HI17,Ancient History,27.7,8.0,16,21,27,33,39,45,50,History,History Studies 
HA,Australian History,28.9,7.7,18,23,29,34,40,45,50,History,History Studies 
HR,Revolutions,28.7,7.6,18,23,29,34,40,45,50,History,History Studies 
IE,Industry and Enterprise,21.6,6.8,12,16,20,26,32,40,50,,
AI,Aboriginal Languages,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
AR,Arabic,31.3,6.8,20,25,30,34,39,44,50,Languages,Language Studies
AM,Armenian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
AU,Auslan,35.1,6.1,23,30,35,40,45,48,50,Languages,Language Studies
BE,Bengali,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO50,Bosnian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO53,Chin Hakha,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
CN,Chinese First Language,32.9,8.6,18,25,33,39,45,48,50,Languages,Language Studies
LO57,Chinese Language Culture and Society,32.9,6.6,22,28,33,38,43,47,50,Languages,Language Studies
CK,Chinese Second Language Advanced,36.8,7.4,24,31,37,42,47,50,52,Languages,Language Studies
CL,Chinese Second Language,40.2,6.9,29,35,41,45,49,52,54,Languages,Language Studies
AG,Classical Greek,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO51,Classical Hebrew,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
CR,Croatian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
DU,Dutch,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
FP,Filipino,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
FR,French,40.2,6.6,30,36,41,45,49,51,53,Languages,Language Studies
GN,German,38.7,7.1,27,34,39,44,48,51,53,Languages,Language Studies
MG,Greek,34.8,7.3,24,30,35,40,44,47,50,Languages,Language Studies
HB,Hebrew,38.5,5.6,29,35,39,43,46,48,50,Languages,Language Studies
HI,Hindi,37.0,7.4,23,30,36,42,46,50,52,Languages,Language Studies
HU,Hungarian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
AI,Indigenous Languages,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
IN,Indonesian First Language,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
IX,Indonesian Second Language,36.8,7.4,26,32,38,42,46,49,52,Languages,Language Studies
IL,Italian,36.8,6.5,27,33,38,42,45,48,50,Languages,Language Studies
JA,Japanese First Language,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
JS,Japanese Second Language,37.4,7.0,26,32,38,43,46,49,51,Languages,Language Studies
LO55,Karen,23.3,5.2,20,25,29,33,38,43,50,Languages,Language Studies
KH,Khmer,30.0,6.3,11,17,25,34,41,47,50,Languages,Language Studies
KO,Korean First Language,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
