study_code,study_name,mean,sd,scaled_score_20,scaled_score_25,scaled_score_30,scaled_score_35,scaled_score_40,scaled_score_45,scaled_score_50,category,group
AC,Accounting,30.8,7.2,20,25,31,36,41,46,50,,
AH,Agricultural & Horticultural Studies,25.3,6.5,15,19,24,29,34,41,50,,VET industry areas
AL03,Algorithmics (HESS),37.6,6.2,26,33,39,43,47,49,50,,Information Technology Studies
IT02,Data Analytics,27.5,7.5,16,21,26,31,37,44,50,Applied Computing,
IT03,Software Development,28.5,7,18,23,28,33,39,45,50,Applied Computing,
AT,Art Creative Practice,27.4,7.3,17,22,27,33,38,44,50,,
SA,Art Making and Exhibiting,26.6,7.3,15,20,25,31,37,44,50,,
BI,Biology,30.4,7.4,19,25,30,36,41,46,50,,
BM,Business Management,26.9,7.4,16,21,26,32,38,44,50,,
CH,Chemistry,33.7,7.3,22,28,34,39,44,47,50,,
CC,Classical Studies,30.2,7.5,18,24,30,36,42,46,50,,Language Studies
DA,Dance,28.4,6.7,19,23,28,33,38,44,50,,
DR,Drama,28.4,7.2,18,23,28,34,39,44,50,,
EC,Economics,31.4,7.1,21,26,31,36,41,46,50,,
EN,English,28.1,7.6,17,22,28,34,39,45,50,,English Studies
EF,English as an Additional Language,28.2,8.3,16,22,28,34,40,46,50,,English Studies
EG,English Language,32.2,7.2,22,27,32,37,42,46,50,,English Studies
EV,Environmental Science,28.1,7.1,18,23,28,33,38,44,50,,
XI03,Extended Investigation,33.2,6.7,22,28,33,38,42,46,50,,
FT,Food Studies,24,7.4,14,18,23,29,35,42,50,,
GE,Geography,28.5,7.3,18,23,28,34,39,45,50,,
HH,Health and Human Development,26.4,7.3,16,21,26,31,37,43,50,,
HI17,Ancient History,27.9,8,16,22,28,34,40,45,50,History,History Studies 
HA,Australian History,28.5,8,17,22,28,34,40,45,50,History,History Studies 
HR,Revolutions,29,7.6,18,23,29,34,40,45,50,History,History Studies 
IE,Industry and Enterprise,24.1,8.3,11,15,21,27,34,42,50,,
AI,Aboriginal Languages,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
AR,Arabic,30.8,8,14,20,27,34,41,47,50,Languages,Language Studies
AM,Armenian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
AU,Auslan,35.1,6.1,23,30,35,40,45,48,50,Languages,Language Studies
BE,Bengali,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO50,Bosnian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO53,Chin Hakha,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
CN,Chinese First Language,33.1,8.5,19,26,33,39,44,48,50,Languages,Language Studies
LO57,Chinese Language Culture and Society,32.6,7.1,22,28,33,38,43,47,50,Languages,Language Studies
CK,Chinese Second Language Advanced,37.1,7.4,24,31,37,43,47,50,52,Languages,Language Studies
CL,Chinese Second Language,40.5,6.8,30,36,41,45,49,52,54,Languages,Language Studies
AG,Classical Greek,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO51,Classical Hebrew,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
CR,Croatian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
DU,Dutch,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
FP,Filipino,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
FR,French,40.2,6.7,30,36,41,45,49,52,54,Languages,Language Studies
GN,German,38.8,6.7,28,34,40,44,48,51,52,Languages,Language Studies
MG,Greek,35.2,6.4,25,30,35,40,44,47,50,Languages,Language Studies
HB,Hebrew,40.3,5.9,35,40,44,47,49,51,52,Languages,Language Studies
HI,Hindi,36.9,8,21,29,36,43,48,51,53,Languages,Language Studies
HU,Hungarian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
AI,Indigenous Languages,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
IN,Indonesian First Language,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
IX,Indonesian Second Language,36.8,7.3,25,31,37,42,46,49,51,Languages,Language Studies
IL,Italian,36.5,6.4,27,32,37,41,45,48,50,Languages,Language Studies
JA,Japanese First Language,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
JS,Japanese Second Language,37.2,7,26,33,38,43,47,49,51,Languages,Language Studies
LO55,Karen,27.5,4.1,22,27,32,36,41,45,50,Languages,Language Studies
KH,Khmer,30.4,6.8,19,24,29,34,39,44,50,Languages,Language Studies
KO,Korean First Language,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
KS,Korean Second Language,38.5,6.1,23,30,37,42,46,49,51,Languages,Language Studies
LA,Latin,45,6.6,35,42,47,50,53,54,55,Languages,Language Studies
MA,Macedonian,28.7,6.6,20,26,32,37,42,47,50,Languages,Language Studies
PN,Persian,29.4,6.4,19,22,26,30,35,41,50,Languages,Language Studies
