course,mean,min_mark,max_mark
Accounting and Finance,57.1,12.5,92.7
Ancient History,64.2,30.9,99.6
Animal Production Systems,50.3,23.7,73.2
Applied Information Technology,51.4,6.3,90.4
Arabic,62.1,23.9,84.0
Auslan,64.9,53.6,88.8
Aviation,56.2,33.6,68.8
Biology,57.3,10.8,94.5
Business Management and Enterprise,55.2,9.1,90.7
Career and Enterprise,57.5,21.1,91.1
Chemistry,63.2,13.7,99.4
"Children, Family and the Community",57.1,30.7,88.4
Chinese: Background Language,59.2,28.8,88.3
Chinese: First Language,49.7,2.2,91.1
Chinese: Second Language,70.1,42.5,100.0
Computer Science,58.7,19.2,94.7
Croatian,0.0,0.0,0.0
Dance,55.3,21.3,95.2
Design,55.6,10.5,90.4
Drama,58.4,17.2,96.2
Dutch,0.0,0.0,0.0
Earth and Environmental Science,54.9,26.6,86.3
Economics,59.1,7.4,95.7
Engineering Studies,54.9,18.5,90.7
English,57.8,9.2,95.0
English as an Additional Language or Dialect,53.6,2.5,90.7
Filipino,59.1,40.1,72.3
Food Science and Technology,55.2,21.0,87.9
French: Background Language,64.9,44.5,80.6
French: Second Language,68.4,30.2,100.0
Geography,55.4,7.1,91.7
German: Background Language,65.9,51.4,81.8
German: Second Language,71.2,51.5,94.7
Health Studies,51.4,5.2,88.4
Hebrew,59.4,56.3,67.5
Hindi,56.5,30.5,95.9
Human Biology,58.6,9.3,94.5
Hungarian,0.0,0.0,0.0
Indonesian: First Language,57.9,53.0,66.1
Indonesian: Second Language,60.6,39.9,83.9
Integrated Science,51.9,14.4,89.2
Italian: Background Language,69.1,52.6,82.1
Italian: Second Language,62.9,20.6,98.7
Japanese: Background Language,57.5,35.8,74.2
Japanese: Second Language,68.4,30.6,100.0
Karen,0.0,0.0,0.0
Korean: Background Language,64.8,52.8,82.3
Literature,64.2,17.6,100.0
Macedonian,0.0,0.0,0.0
Malay: Background Speakers,0.0,0.0,0.0
Marine and Maritime Studies,54.5,18.9,89.7
Materials Design and Technology,56.0,22.7,89.5
Mathematics Applications,55.3,5.2,91.5
Mathematics Methods,64.6,11.9,100.0
Mathematics Specialist,69.2,22.8,100.0
Media Production and Analysis,53.9,12.7,92.4
Modern Greek,77.2,69.2,82.5
Modern History,56.8,6.7,94.3
Music,61.8,13.4,98.8
Outdoor Education,54.7,14.4,94.0
Persian,59.3,52.7,65.3
Philosophy and Ethics,61.9,25.2,98.4
Physical Education Studies,56.2,12.9,90.6
Physics,62.7,12.6,99.2
Plant Production Systems,49.5,21.0,73.6
Polish,0.0,0.0,0.0
Politics and Law,60.2,13.8,96.9
Portuguese,0.0,0.0,0.0
Psychology,56.8,4.2,93.5
Punjabi,0.0,0.0,0.0
Religion and Life,59.6,15.3,93.2
Romanian,0.0,0.0,0.0
Russian,61.6,45.3,82.7
Serbian,55.0,23.8,78.7
Sinhala,55.1,30.1,71.8
Spanish,68.7,57.3,86.3
Swedish,0.0,0.0,0.0
Tamil,62.2,48.7,74.7
Turkish,0.0,0.0,0.0
Vietnamese,61.3,41.9,77.7
Visual Arts,56.7,10.1,94.5
Agribusiness,47.8,12.6,71.1
Agricultural Science and Technology,44.2,7.0,68.9
Hindi: Background Language,66.1,32.1,89.6
Indonesian: Background Language,55.7,0.9,83.5
Korean: Second Language,63.8,48.0,81.5
Punjabi: Background Language,63.5,32.9,78.9
Tamil: Background Language,66.3,17.1,90.0
